Country,co2_tonnes,Carbon_yearData
TIMOR-LESTE,538000.0,2019
JERSEY,450000.0,2012
AMERICAN SAMOA,355000.0,2019
SAMOA,355000.0,2019
GUINEA-BISSAU,342000.0,2019
SOLOMON ISLANDS,333000.0,2019
COMOROS,326000.0,2019
GRENADA,316000.0,2019
MARSHALL ISLANDS,293700.0,2017
CENTRAL AFRICAN REPUBLIC,285000.0,2019
SAINT KITTS AND NEVIS,268000.0,2019
TURKS AND CAICOS ISLANDS,245000.0,2019
VANUATU,225000.0,2019
SAINT VINCENT AND THE GRENADINES,202000.0,2019
DOMINICA,182000.0,2019
"MICRONESIA, FEDERATED STATES OF",177000.0,2019
BRITISH VIRGIN ISLANDS,173000.0,2019
SAO TOME AND PRINCIPE,173000.0,2019
TONGA,171000.0,2019
COOK ISLANDS,114000.0,2019
SAINT PIERRE AND MIQUELON,84000.0,2019
KIRIBATI,76000.0,2019
NAURU,66000.0,2019
FALKLAND ISLANDS (ISLAS MALVINAS),46000.0,2019
MONTSERRAT,33000.0,2019
ANTARCTICA,28000.0,2019
"SAINT HELENA, ASCENSION, AND TRISTAN DA CUNHA",13000.0,2019
NIUE,8000.0,2019
NORTHERN MARIANA ISLANDS,0.0,2019
TUVALU,0.0,2019
